Country,Year,gdp_per_capita_constant_usd,primary_school_enrollment,under5_mortality_per_1000,basic_water_access_pct,basic_sanitation_access_pct,adolescent_fertility_rate,life_expectancy_birth,total_fertility_rate,population_growth,urban_population_pct
BGD,1993,511.193509421294,,127.4,,,167.118,57.073,3.832,1.86277225280699,20.966
BGD,1994,521.323144726555,,121.2,,,163.261,57.64,3.737,1.85417955110796,21.328
BGD,1995,537.931946643983,,115.1,,,160.034,58.244,3.588,1.85825551797916,21.693
BGD,1996,552.077107138767,,109.1,,,154.635,58.94,3.505,1.82805195849607,22.064
BGD,1997,566.271140847632,,103.0,,,154.369,59.671,3.502,1.85349089461291,22.438
BGD,1998,584.448175174047,,97.0,,,154.148,60.429,3.427,1.88796139153147,22.818
BGD,1999,600.232323162952,,91.0,,,151.983,61.244,3.357,1.89951780093278,23.202
BGD,2000,620.560472822105,,85.4,94.8189212128758,24.5131903542463,152.641,62.049,3.279,1.82732806740512,23.59
BGD,2001,641.288922876274,,80.1,94.9936859433404,26.0705975336452,147.804,62.836,3.203,1.66689324749509,24.096
BGD,2002,655.672139362272,,75.3,95.1737696316763,27.6554493983047,142.0,63.591,3.126,1.54340635736975,24.756
BGD,2003,676.826252046427,,70.9,95.3525625591624,29.231867657353,139.872,64.288,3.029,1.45530530506763,25.429
BGD,2004,702.656357081873,,66.9,95.5299724790634,30.7992984470831,138.184,64.912,2.94,1.36154790691024,26.114
BGD,2005,739.203718353409,96.386833190918,63.2,95.7089575160626,32.4431837647269,126.555,65.509,2.846,1.2606651625389,26.809
BGD,2006,779.419570444998,95.8766021728516,59.8,95.8847117824058,34.0875250851519,124.43,66.048,2.755,1.16116775095831,27.517
BGD,2007,825.508229964537,93.662353515625,56.7,96.0570984545243,35.7309011894357,126.819,66.458,2.666,1.07564253185597,28.237
BGD,2008,866.45815762135,90.3782272338867,53.9,96.2259786038382,37.3719166265714,119.728,67.047,2.577,0.9984405660693,28.968
BGD,2009,901.729626251937,92.5936737060547,51.3,96.3912331775333,39.0092124920905,115.797,67.527,2.484,0.931892491457971,29.709
BGD,2010,943.66422864236,94.7762261175806,48.9,96.5528253694261,40.6418673210665,115.018,68.009,2.38,0.876530534249878,30.462
BGD,2011,995.579947155662,,46.7,96.710597256145,42.268339101128,105.382,68.499,2.309,0.908525895582217,31.225
BGD,2012,1050.39140404066,,44.7,96.864384577712,43.8868927179976,104.552,68.989,2.263,0.958355912717609,31.993
BGD,2013,1103.15695907123,,42.7,97.0140618269523,45.4961634604437,102.256,69.487,2.247,0.938408350120779,32.762
BGD,2014,1159.40753475981,,40.7,97.1596636760135,47.0955366737352,91.829,70.016,2.228,0.911167733810249,33.535
BGD,2015,1224.38647668165,,38.8,97.3011010904708,48.6838158473245,89.274,70.543,2.227,0.89381937776758,34.308
BGD,2016,1299.83091360792,,36.9,97.4383909094007,50.2602922140672,87.837,71.075,2.227,0.892432416039535,35.083
BGD,2017,1373.75363740186,105.128820425409,35.2,97.5714932946819,51.8240359497362,82.215,71.606,2.205,0.850917315689336,35.858
BGD,2018,1462.25050255713,107.18995771035,33.7,97.700411546896,53.374264785747,80.415,72.122,2.193,0.820955197842845,36.632
BGD,2019,1564.20802445636,,32.4,97.8251365713411,54.9102399606066,79.151,72.625,2.18,0.84641125179804,37.405
BGD,2020,1604.6659234742,110.066619873047,31.5,97.945676020447,56.4312334257288,79.184,71.421,2.175,0.836310836229073,38.177
BTN,1990,812.671325588739,,128.2,,,95.604,55.811,5.604,2.70054497941616,16.388
BTN,1991,795.191842865383,46.4366989135742,122.8,,,92.975,56.451,5.451,1.76562588713205,17.161
BTN,1992,863.46389569327,45.327579498291,117.6,,,89.806,57.208,5.267,-3.73868016502051,17.962
BTN,1993,917.291292689812,54.5066108703613,112.5,,,86.452,57.906,5.072,-4.0804037833298,18.791
BTN,1994,963.016574291679,57.220531463623,107.5,,,82.988,58.395,4.866,-0.0317354420831988,19.649
BTN,1995,1043.38748981674,62.3229904174805,102.5,,,78.959,59.277,4.624,-1.18061827424054,20.537
BTN,1996,1099.85817824831,68.2794494628906,97.5,,,74.693,59.982,4.369,0.144970771387412,21.456
BTN,1997,1138.39922318847,71.6688079833984,92.6,,,70.003,60.639,4.088,1.79023653749442,22.401
BTN,1998,1182.98781073316,73.8227310180664,87.7,,,66.076,61.322,3.853,1.9037354324329,23.377
BTN,1999,1248.61600842811,75.6812210083008,83.0,,,61.956,62.032,3.607,2.28201573945798,24.383
BTN,2000,1259.6237645235,77.8631820678711,78.5,82.3616023376971,46.9049420148629,58.015,61.842,3.378,2.42228077592733,25.418
BTN,2001,1321.09878230279,79.7490081787109,74.0,83.4672853946384,47.2601457118494,53.936,63.323,3.188,2.30721437926679,26.48
BTN,2002,1427.25693317315,81.8688430786133,69.6,84.619956973004,49.1547421492926,49.647,63.984,3.012,2.2045852261164,27.57
BTN,2003,1506.4152751782,84.8784332275391,65.4,85.7539271039214,51.0165270702967,46.144,64.662,2.865,2.10043282502438,28.688
BTN,2004,1552.73915195801,88.8356399536133,61.2,86.8683908719885,52.844198299812,43.964,65.29,2.781,1.99990053168434,29.835
BTN,2005,1632.02169500573,92.4433975219727,57.1,87.9567599908277,54.6241930830264,42.66,65.875,2.726,1.72526717067528,30.965
BTN,2006,1701.11878173586,97.0613403320312,53.2,88.9789644735717,56.2695823363996,41.597,66.499,2.66,1.34079315421153,31.712
BTN,2007,1952.25734603779,101.103286743164,49.6,89.9867722230308,57.8890069731265,40.63,67.152,2.589,1.16227298430616,32.469
BTN,2008,2017.76018913403,104.533050537109,46.2,90.9798258203144,59.4818938821528,38.59,67.733,2.481,1.12968896454968,33.236
BTN,2009,2148.56480375034,109.009880065918,43.1,91.9575530816724,61.0687309500426,36.3,68.156,2.364,1.10655106118336,34.01
BTN,2010,2378.72810760985,111.975852966309,40.3,92.9198297625289,62.6289580941062,31.864,68.765,2.252,1.0954380761045,34.793
BTN,2011,2552.48871073094,113.566772460938,37.7,93.8663401691151,64.1622239029782,27.948,69.28,2.155,1.0978069996978,35.585
BTN,2012,2654.74798946027,113.019607543945,35.6,94.796080074277,65.6661456957171,24.734,69.759,2.068,1.10777662014052,36.371
BTN,2013,2671.07460201171,106.841247558594,33.8,95.70915284335,67.140887988373,22.16,70.161,2.0,1.10832494505463,37.149
BTN,2014,2797.81883971908,104.719581604004,32.2,96.6057777361165,68.5868506524737,19.307,70.504,1.923,1.07871798585886,37.918
BTN,2015,2954.04081911097,103.099495619907,30.8,97.4862232685065,70.0045782225333,16.456,70.797,1.835,1.01496572424441,38.678
BTN,2016,3173.36773217431,101.324020385742,29.6,98.1862388792563,71.3945411475057,14.108,71.119,1.738,0.973884473914115,39.428
BTN,2017,3211.80903275593,99.7447717881834,28.5,98.6598417425712,72.7572881553915,11.332,71.413,1.621,0.86127488782821,40.167
BTN,2018,3300.55006461736,99.3060254263897,27.4,98.7649965034515,74.0934493170047,9.369,71.711,1.517,0.716471130925301,40.895
BTN,2019,3467.38598979356,97.989926908949,26.5,98.872312239386,75.403670277365,8.139,72.005,1.448,0.66444642692507,41.612
BTN,2020,3092.12428399363,103.826009511759,25.5,98.9817176346163,76.6885643387189,8.74,72.253,1.502,0.675256502719854,42.316
BWA,1990,4039.46544455099,109.420013427734,50.1,,,103.578,60.104,4.509,2.75036067045791,41.933
BWA,1991,4224.09857544948,111.721710205078,52.9,,,98.633,58.911,4.365,2.72429719004269,45.292
BWA,1992,4226.73999498293,109.231819152832,57.0,,,96.929,58.19,4.255,2.81282080899369,46.443
BWA,1993,4186.14547358363,107.772499084473,62.0,,,95.216,57.316,4.152,2.86304423228008,47.286
BWA,1994,4219.4408088678,107.288078308105,67.2,,,92.575,55.97,4.021,2.77143347713386,48.133
BWA,1995,4399.1388580936,106.133697509766,67.4,,,87.502,54.713,3.792,2.62366178434921,48.981
BWA,1996,4543.2105349273,106.946533203125,71.0,,,82.896,54.284,3.573,2.44368367103611,49.83
BWA,1997,4809.4439184672,107.549926757812,73.7,,,80.205,53.594,3.431,2.30264662254376,50.677
BWA,1998,4724.93670942028,106.839622497559,75.7,,,77.783,52.968,3.362,2.21541249490062,51.525
BWA,1999,5070.94772048729,107.014381408691,79.1,,,75.546,52.499,3.313,2.16069492392568,52.372
BWA,2000,5062.64289173588,107.469581604004,81.1,75.1696350758408,51.9161128230796,73.683,52.263,3.294,2.13210606291764,53.219
BWA,2001,4971.96371794188,108.973907470703,81.2,75.5201052025927,53.3312371934366,71.463,52.21,3.248,2.05763865830609,54.062
